t_gps,raw_lat,raw_lon,raw_h,kf_lat,kf_lon,kf_h,vx,vy,vz,sqrt_P00,sqrt_P11,sqrt_P22
0.000000,33.578365,-117.064533,454.636594,33.578365,-117.064533,454.636594,0.000000,0.000000,0.000000,33.251915,33.251915,33.251915
15.000000,33.578364,-117.064528,453.658849,33.578365,-117.064531,454.240814,0.003450,0.002097,-0.002889,28.143229,28.143229,28.143229
30.000000,33.578370,-117.064527,451.369309,33.578367,-117.064529,453.071808,0.014199,0.017878,-0.010300,27.760240,27.760240,27.760240
45.000000,33.578372,-117.064526,450.235306,33.578369,-117.064527,451.698016,0.023935,0.033075,-0.017338,28.379411,28.379411,28.379411
60.000000,33.578377,-117.064523,448.114846,33.578373,-117.064525,449.836164,0.035149,0.050044,-0.024378,28.515071,28.515071,28.515071
75.000000,33.578381,-117.064524,445.678507,33.578377,-117.064524,447.588445,0.043421,0.066673,-0.031677,28.090958,28.090958,28.090958
90.000000,33.578382,-117.064520,445.440500,33.578381,-117.064522,445.994346,0.046530,0.070205,-0.033102,27.364017,27.364017,27.364017
105.000000,33.578388,-117.064518,442.890860,33.578385,-117.064519,444.034152,0.050712,0.076662,-0.035377,26.501333,26.501333,26.501333
120.000000,33.578390,-117.064517,441.109803,33.578388,-117.064517,442.099666,0.053155,0.080998,-0.037572,25.609013,25.609013,25.609013
135.000000,33.578394,-117.064516,440.179805,33.578392,-117.064516,440.458020,0.053765,0.082371,-0.037532,24.757890,24.757890,24.757890
150.000000,33.578396,-117.064513,439.066175,33.578396,-117.064514,438.965673,0.053914,0.082072,-0.037166,23.955356,23.955356,23.955356
165.000000,33.578403,-117.064512,436.436915,33.578400,-117.064512,437.163762,0.055046,0.084256,-0.037501,23.202263,23.202263,23.202263
180.000000,33.578405,-117.064508,434.693002,33.578404,-117.064510,435.367225,0.056198,0.085584,-0.038138,22.483178,22.483178,22.483178
195.000000,33.578410,-117.064508,433.177614,33.578408,-117.064508,433.632953,0.056725,0.086639,-0.038216,21.827477,21.827477,21.827477
210.000000,33.578413,-117.064505,431.774098,33.578411,-117.064506,431.970594,0.057097,0.087012,-0.038156,21.213368,21.213368,21.213368
225.000000,33.578414,-117.064502,430.540196,33.578415,-117.064504,430.400082,0.057201,0.086648,-0.038139,20.642393,20.642393,20.642393
240.000000,33.578418,-117.064500,428.899331,33.578418,-117.064501,428.816075,0.057324,0.086453,-0.038086,20.093160,20.093160,20.093160
255.000000,33.578423,-117.064500,425.963515,33.578422,-117.064500,426.964882,0.057838,0.087570,-0.038689,19.586175,19.586175,19.586175
270.000000,33.578428,-117.064501,424.156427,33.578426,-117.064498,425.117591,0.058087,0.088713,-0.039084,19.120576,19.120576,19.120576
285.000000,33.578430,-117.064496,422.859710,33.578429,-117.064496,423.364038,0.058352,0.089141,-0.039329,18.668515,18.668515,18.668515
300.000000,33.578432,-117.064494,421.774613,33.578433,-117.064494,421.724483,0.058351,0.089045,-0.039369,18.248878,18.248878,18.248878
315.000000,33.578437,-117.064493,419.705536,33.578436,-117.064493,420.013839,0.058448,0.089294,-0.039468,17.860274,17.860274,17.860274
330.000000,33.578441,-117.064491,417.737229,33.578440,-117.064491,418.260790,0.058624,0.089661,-0.039631,17.490453,17.490453,17.490453
345.000000,33.578446,-117.064490,416.000678,33.578444,-117.064489,416.508828,0.058761,0.090055,-0.039696,17.146038,17.146038,17.146038
360.000000,33.578448,-117.064488,414.571419,33.578448,-117.064487,414.803283,0.058798,0.090208,-0.039753,16.829463,16.829463,16.829463
375.000000,33.578452,-117.064485,412.858942,33.578451,-117.064486,413.095836,0.058897,0.090334,-0.039788,16.519862,16.519862,16.519862
390.000000,33.578456,-117.064483,411.180145,33.578455,-117.064484,411.391564,0.058992,0.090448,-0.039797,16.219927,16.219927,16.219927
405.000000,33.578459,-117.064480,410.026101,33.578459,-117.064482,409.760383,0.059013,0.090319,-0.039692,15.939523,15.939523,15.939523
420.000000,33.578463,-117.064480,407.476363,33.578462,-117.064480,408.010283,0.059116,0.090552,-0.039806,15.661940,15.661940,15.661940
435.000000,33.578466,-117.064476,405.818881,33.578466,-117.064478,406.270532,0.059267,0.090686,-0.039917,15.393729,15.393729,15.393729
450.000000,33.578471,-117.064476,404.330301,33.578470,-117.064476,404.560960,0.059317,0.090803,-0.039913,15.143027,15.143027,15.143027
465.000000,33.578472,-117.064472,403.243330,33.578473,-117.064474,402.925042,0.059314,0.090651,-0.039878,14.904100,14.904100,14.904100
480.000000,33.578475,-117.064473,401.884978,33.578476,-117.064472,401.322362,0.059180,0.090472,-0.039804,14.668094,14.668094,14.668094
495.000000,33.578479,-117.064471,400.187489,33.578480,-117.064470,399.709599,0.059079,0.090336,-0.039733,14.446624,14.446624,14.446624
510.000000,33.578481,-117.064468,399.056195,33.578483,-117.064468,398.151251,0.058946,0.090053,-0.039625,14.228249,14.228249,14.228249
525.000000,33.578487,-117.064469,396.478144,33.578487,-117.064467,396.484443,0.058887,0.090092,-0.039616,14.020777,14.020777,14.020777
540.000000,33.578490,-117.064466,395.364976,33.578490,-117.064465,394.875905,0.058800,0.089987,-0.039536,13.817624,13.817624,13.817624
555.000000,33.578494,-117.064464,393.657915,33.578494,-117.064463,393.257935,0.058737,0.089911,-0.039463,13.622272,13.622272,13.622272
570.000000,33.578498,-117.064461,391.746288,33.578497,-117.064461,391.611088,0.058736,0.089888,-0.039425,13.432654,13.432654,13.432654
585.000000,33.578502,-117.064463,390.182347,33.578501,-117.064460,389.972385,0.058652,0.089896,-0.039370,13.255277,13.255277,13.255277
600.000000,33.578505,-117.064461,388.445525,33.578505,-117.064458,388.324770,0.058584,0.089908,-0.039343,13.074678,13.074678,13.074678
615.000000,33.578508,-117.064461,387.125121,33.578508,-117.064457,386.707637,0.058462,0.089872,-0.039290,12.908959,12.908959,12.908959
630.000000,33.578508,-117.064459,386.145123,33.578511,-117.064455,385.150127,0.058282,0.089690,-0.039233,12.742109,12.742109,12.742109
645.000000,33.578513,-117.064458,384.549961,33.578515,-117.064454,383.589838,0.058116,0.089546,-0.039150,12.583886,12.583886,12.583886
660.000000,33.578517,-117.064457,382.747243,33.578518,-117.064453,382.009779,0.057971,0.089454,-0.039084,12.426191,12.426191,12.426191
675.000000,33.578522,-117.064455,381.113361,33.578522,-117.064451,380.425559,0.057856,0.089384,-0.039000,12.275632,12.275632,12.275632
690.000000,33.578524,-117.064457,379.948933,33.578525,-117.064450,378.877886,0.057657,0.089271,-0.038903,12.128188,12.128188,12.128188
705.000000,33.578528,-117.064454,378.042335,33.578529,-117.064449,377.301381,0.057520,0.089201,-0.038835,11.984450,11.984450,11.984450
720.000000,33.578532,-117.064454,376.076927,33.578532,-117.064448,375.693630,0.057399,0.089197,-0.038798,11.845706,11.845706,11.845706
735.000000,33.578534,-117.064453,375.001033,33.578535,-117.064447,374.129027,0.057240,0.089116,-0.038738,11.710483,11.710483,11.710483
750.000000,33.578534,-117.064449,374.299371,33.578539,-117.064445,372.634328,0.057058,0.088890,-0.038654,11.575615,11.575615,11.575615
765.000000,33.578539,-117.064448,372.763200,33.578542,-117.064444,371.138141,0.056888,0.088694,-0.038550,11.443260,11.443260,11.443260
780.000000,33.578542,-117.064448,371.146196,33.578545,-117.064443,369.633456,0.056714,0.088526,-0.038463,11.316485,11.316485,11.316485
795.000000,33.578546,-117.064447,369.266390,33.578548,-117.064441,368.101734,0.056568,0.088410,-0.038399,11.192856,11.192856,11.192856
810.000000,33.578549,-117.064445,367.978018,33.578552,-117.064440,366.589889,0.056420,0.088265,-0.038323,11.068738,11.068738,11.068738
825.000000,33.578554,-117.064445,366.450782,33.578555,-117.064439,365.077440,0.056272,0.088147,-0.038229,10.949895,10.949895,10.949895
840.000000,33.578555,-117.064442,365.726350,33.578558,-117.064438,363.623197,0.056101,0.087932,-0.038111,10.833008,10.833008,10.833008
855.000000,33.578558,-117.064441,363.813298,33.578562,-117.064437,362.138011,0.055954,0.087766,-0.038030,10.718374,10.718374,10.718374
870.000000,33.578559,-117.064442,362.435456,33.578565,-117.064435,360.662841,0.055775,0.087591,-0.037969,10.602575,10.602575,10.602575
885.000000,33.578563,-117.064440,361.532494,33.578568,-117.064434,359.226554,0.055591,0.087376,-0.037864,10.494754,10.494754,10.494754
900.000000,33.578566,-117.064438,360.712223,33.578571,-117.064433,357.836123,0.055392,0.087109,-0.037723,10.384878,10.384878,10.384878
915.000000,33.578568,-117.064438,359.602067,33.578574,-117.064432,356.466362,0.055172,0.086827,-0.037581,10.277850,10.277850,10.277850
930.000000,33.578571,-117.064437,358.143490,33.578577,-117.064431,355.093544,0.054961,0.086559,-0.037448,10.171798,10.171798,10.171798
945.000000,33.578572,-117.064440,357.234559,33.578580,-117.064430,353.753312,0.054697,0.086271,-0.037312,10.068061,10.068061,10.068061
960.000000,33.578578,-117.064437,355.845775,33.578583,-117.064429,352.412003,0.054469,0.086003,-0.037153,9.966668,9.966668,9.966668
975.000000,33.578579,-117.064436,355.158480,33.578586,-117.064428,351.114698,0.054219,0.085683,-0.036982,9.867579,9.867579,9.867579
990.000000,33.578582,-117.064435,353.954874,33.578589,-117.064427,349.825698,0.053972,0.085366,-0.036810,9.770595,9.770595,9.770595
1005.000000,33.578582,-117.064435,353.025877,33.578591,-117.064426,348.561719,0.053704,0.085022,-0.036650,9.675505,9.675505,9.675505
1020.000000,33.578584,-117.064435,352.065672,33.578594,-117.064425,347.319812,0.053424,0.084666,-0.036485,9.581575,9.581575,9.581575
1035.000000,33.578590,-117.064439,350.117369,33.578597,-117.064425,346.036799,0.053148,0.084400,-0.036332,9.490093,9.490093,9.490093
