t_gps,raw_lat,raw_lon,raw_h,kf_lat,kf_lon,kf_h,vx,vy,vz,sqrt_P00,sqrt_P11,sqrt_P22
0.000000,33.578365,-117.064533,454.636594,33.578365,-117.064533,454.636594,0.000000,0.000000,0.000000,45.610014,45.610014,45.610014
15.000000,33.578364,-117.064528,453.658849,33.578365,-117.064532,454.481517,0.000780,0.000474,-0.000653,44.041357,44.041357,44.041357
30.000000,33.578370,-117.064527,451.369309,33.578366,-117.064531,453.934781,0.004006,0.004849,-0.002939,45.867651,45.867651,45.867651
45.000000,33.578372,-117.064526,450.235306,33.578367,-117.064530,453.130658,0.008678,0.011537,-0.006341,49.087034,49.087034,49.087034
60.000000,33.578377,-117.064523,448.114846,33.578370,-117.064528,451.842853,0.015721,0.021692,-0.011049,52.109699,52.109699,52.109699
75.000000,33.578381,-117.064524,445.678507,33.578373,-117.064527,450.041999,0.023258,0.034492,-0.016994,54.209324,54.209324,54.209324
90.000000,33.578382,-117.064520,445.440500,33.578376,-117.064524,448.399873,0.028999,0.042612,-0.020755,55.307553,55.307553,55.307553
105.000000,33.578388,-117.064518,442.890860,33.578380,-117.064522,446.403037,0.035068,0.051856,-0.024678,55.565301,55.565301,55.565301
120.000000,33.578390,-117.064517,441.109803,33.578384,-117.064520,444.345719,0.039812,0.059458,-0.028278,55.226656,55.226656,55.226656
135.000000,33.578394,-117.064516,440.179805,33.578388,-117.064518,442.485299,0.042897,0.064510,-0.030148,54.535927,54.535927,54.535927
150.000000,33.578396,-117.064513,439.066175,33.578392,-117.064516,440.757060,0.045127,0.067648,-0.031375,53.627846,53.627846,53.627846
165.000000,33.578403,-117.064512,436.436915,33.578396,-117.064514,438.801359,0.047585,0.071784,-0.032739,52.594824,52.594824,52.594824
180.000000,33.578405,-117.064508,434.693002,33.578400,-117.064511,436.860936,0.049764,0.074886,-0.034094,51.472333,51.472333,51.472333
195.000000,33.578410,-117.064508,433.177614,33.578404,-117.064509,434.989622,0.051251,0.077402,-0.034874,50.361548,50.361548,50.361548
210.000000,33.578413,-117.064505,431.774098,33.578409,-117.064507,433.196047,0.052422,0.079110,-0.035404,49.254620,49.254620,49.254620
225.000000,33.578414,-117.064502,430.540196,33.578412,-117.064505,431.499219,0.053227,0.079997,-0.035849,48.177374,48.177374,48.177374
240.000000,33.578418,-117.064500,428.899331,33.578416,-117.064502,429.805702,0.053917,0.080794,-0.036179,47.102461,47.102461,47.102461
255.000000,33.578423,-117.064500,425.963515,33.578420,-117.064500,427.890173,0.054806,0.082439,-0.036949,46.082762,46.082762,46.082762
270.000000,33.578428,-117.064501,424.156427,33.578424,-117.064499,425.985778,0.055412,0.083998,-0.037514,45.126023,45.126023,45.126023
285.000000,33.578430,-117.064496,422.859710,33.578427,-117.064497,424.170272,0.055971,0.084913,-0.037928,44.180368,44.180368,44.180368
300.000000,33.578432,-117.064494,421.774613,33.578431,-117.064495,422.464720,0.056265,0.085325,-0.038145,43.289585,43.289585,43.289585
315.000000,33.578437,-117.064493,419.705536,33.578435,-117.064493,420.702851,0.056591,0.085938,-0.038380,42.454705,42.454705,42.454705
330.000000,33.578441,-117.064491,417.737229,33.578438,-117.064491,418.907787,0.056947,0.086594,-0.038646,41.652346,41.652346,41.652346
345.000000,33.578446,-117.064490,416.000678,33.578442,-117.064490,417.118353,0.057242,0.087227,-0.038814,40.898674,40.898674,40.898674
360.000000,33.578448,-117.064488,414.571419,33.578446,-117.064488,415.375611,0.057431,0.087624,-0.038960,40.200815,40.200815,40.200815
375.000000,33.578452,-117.064485,412.858942,33.578450,-117.064486,413.634192,0.057651,0.087969,-0.039075,39.514675,39.514675,39.514675
390.000000,33.578456,-117.064483,411.180145,33.578454,-117.064484,411.898579,0.057852,0.088276,-0.039157,38.846573,38.846573,38.846573
405.000000,33.578459,-117.064480,410.026101,33.578457,-117.064482,410.233377,0.057976,0.088355,-0.039135,38.218739,38.218739,38.218739
420.000000,33.578463,-117.064480,407.476363,33.578461,-117.064480,408.461109,0.058158,0.088716,-0.039286,37.595007,37.595007,37.595007
435.000000,33.578466,-117.064476,405.818881,33.578465,-117.064478,406.700139,0.058370,0.088979,-0.039430,36.989988,36.989988,36.989988
