t_gps,kf_lat,kf_lon,kf_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma
0,33.578365,-117.064533,454.636594,33.578378,-117.064249,456.597292,45.610014,1.832342
15,33.578365,-117.064532,454.481517,33.578378,-117.064249,456.597896,44.041357,1.8319
30,33.578366,-117.064531,453.934781,33.578378,-117.064249,456.598499,45.867651,1.831458
45,33.578367,-117.06453,453.130658,33.578378,-117.064249,456.599102,49.087034,1.831015
60,33.57837,-117.064528,451.842853,33.578378,-117.064249,456.599705,52.109699,1.830573
75,33.578373,-117.064527,450.041999,33.578378,-117.064249,456.600309,54.209324,1.830131
90,33.578376,-117.064524,448.399873,33.578378,-117.064249,456.600912,55.307553,1.829689
105,33.57838,-117.064522,446.403037,33.578378,-117.064249,456.601515,55.565301,1.829247
120,33.578384,-117.06452,444.345719,33.578378,-117.064249,456.602119,55.226656,1.828804
135,33.578388,-117.064518,442.485299,33.578378,-117.064249,456.602722,54.535927,1.828362
150,33.578392,-117.064516,440.75706,33.578378,-117.064249,456.603325,53.627846,1.82792
165,33.578396,-117.064514,438.801359,33.578378,-117.064249,456.603929,52.594824,1.827478
180,33.5784,-117.064511,436.860936,33.578378,-117.064249,456.604532,51.472333,1.827036
195,33.578404,-117.064509,434.989622,33.578378,-117.064249,456.605135,50.361548,1.826594
210,33.578409,-117.064507,433.196047,33.578378,-117.064249,456.605739,49.25462,1.826152
225,33.578412,-117.064505,431.499219,33.578378,-117.064249,456.606342,48.177374,1.82571
240,33.578416,-117.064502,429.805702,33.578378,-117.064249,456.606945,47.102461,1.825268
255,33.57842,-117.0645,427.890173,33.578378,-117.064249,456.607549,46.082762,1.824826
270,33.578424,-117.064499,425.985778,33.578378,-117.064249,456.608152,45.126023,1.824384
285,33.578427,-117.064497,424.170272,33.578378,-117.064249,456.608755,44.180368,1.823943
300,33.578431,-117.064495,422.46472,33.578378,-117.064249,456.609359,43.289585,1.823501
315,33.578435,-117.064493,420.702851,33.578378,-117.064249,456.609962,42.454705,1.823059
330,33.578438,-117.064491,418.907787,33.578378,-117.064249,456.610565,41.652346,1.822617
345,33.578442,-117.06449,417.118353,33.578378,-117.064249,456.611169,40.898674,1.822175
360,33.578446,-117.064488,415.375611,33.578378,-117.064249,456.611772,40.200815,1.821734
375,33.57845,-117.064486,413.634192,33.578378,-117.064249,456.612375,39.514675,1.821292
390,33.578454,-117.064484,411.898579,33.578378,-117.064249,456.612979,38.846573,1.82085
405,33.578457,-117.064482,410.233377,33.578378,-117.064249,456.613582,38.218739,1.820409
420,33.578461,-117.06448,408.461109,33.578378,-117.064249,456.614185,37.595007,1.819967
435,33.578465,-117.064478,406.700139,33.578378,-117.064249,456.614789,36.989988,1.819525
450,33.578468,-117.064476,404.969167,33.578378,-117.064249,456.615392,36.422114,1.819084
465,33.578472,-117.064474,403.3083,33.578377,-117.064249,456.615995,35.879151,1.818642
480,33.578475,-117.064472,401.680022,33.578377,-117.064249,456.616599,35.341589,1.818201
495,33.578479,-117.06447,400.04465,33.578377,-117.064249,456.617202,34.835495,1.817759
510,33.578482,-117.064468,398.461518,33.578377,-117.064249,456.617805,34.335505,1.817318
525,33.578486,-117.064467,396.779207,33.578377,-117.064249,456.618409,33.859219,1.816876
540,33.578489,-117.064465,395.152362,33.578377,-117.064249,456.619012,33.391993,1.816435
555,33.578493,-117.064463,393.518057,33.578377,-117.064249,456.619615,32.94174,1.815994
570,33.578497,-117.064461,391.857835,33.578377,-117.064249,456.620219,32.503906,1.815552
585,33.5785,-117.06446,390.206374,33.578377,-117.064249,456.620822,32.093336,1.815111
600,33.578504,-117.064458,388.547118,33.578377,-117.064249,456.621425,31.675071,1.81467
615,33.578507,-117.064457,386.917578,33.578377,-117.064249,456.622029,31.29022,1.814228
630,33.578511,-117.064455,385.34477,33.578377,-117.064249,456.622632,30.902505,1.813787
645,33.578514,-117.064454,383.770446,33.578377,-117.064249,456.623235,30.534147,1.813346
660,33.578518,-117.064453,382.178273,33.578377,-117.064249,456.623839,30.166726,1.812905
675,33.578521,-117.064451,380.583003,33.578377,-117.064249,456.624442,29.815347,1.812463
690,33.578525,-117.06445,379.022919,33.578377,-117.064249,456.625045,29.470873,1.812022
705,33.578528,-117.064449,377.436329,33.578377,-117.064249,456.625649,29.134672,1.811581
720,33.578532,-117.064448,375.820801,33.578377,-117.064249,456.626252,28.809731,1.81114
735,33.578535,-117.064446,374.246598,33.578377,-117.064249,456.626855,28.492705,1.810699
750,33.578538,-117.064445,372.739172,33.578377,-117.064249,456.627459,28.176309,1.810258
765,33.578541,-117.064444,371.231072,33.578377,-117.064249,456.628062,27.865502,1.809817
780,33.578545,-117.064442,369.715634,33.578377,-117.064249,456.628665,27.567387,1.809376
795,33.578548,-117.064441,368.175126,33.578377,-117.064249,456.629269,27.276386,1.808935
810,33.578551,-117.06444,366.65398,33.578377,-117.064249,456.629872,26.984095,1.808494
825,33.578555,-117.064439,365.132814,33.578377,-117.064249,456.630475,26.703853,1.808053
840,33.578558,-117.064437,363.667558,33.578377,-117.064249,456.631079,26.428005,1.807612
855,33.578561,-117.064436,362.173426,33.578377,-117.064249,456.631682,26.157247,1.807171
870,33.578564,-117.064435,360.689324,33.578377,-117.064249,456.632285,25.883631,1.806731
885,33.578567,-117.064434,359.24284,33.578377,-117.064249,456.632889,25.628428,1.80629
900,33.578571,-117.064433,357.840683,33.578377,-117.064249,456.633492,25.368322,1.805849
915,33.578574,-117.064431,356.458911,33.578377,-117.064249,456.634095,25.114718,1.805408
930,33.578577,-117.06443,355.074869,33.578377,-117.064249,456.634699,24.863262,1.804968
945,33.57858,-117.064429,353.722604,33.578377,-117.064249,456.635302,24.617082,1.804527
960,33.578583,-117.064428,352.36995,33.578377,-117.064249,456.635905,24.376262,1.804086
975,33.578586,-117.064428,351.060035,33.578377,-117.064249,456.636509,24.140721,1.803646
990,33.578589,-117.064427,349.758738,33.578377,-117.064249,456.637112,23.910005,1.803205
1005,33.578591,-117.064426,348.482068,33.578377,-117.064249,456.637715,23.683634,1.802764
1020,33.578594,-117.064425,347.227237,33.578377,-117.064249,456.638319,23.45989,1.802324
1035,33.578597,-117.064424,345.933611,33.578377,-117.064249,456.638922,23.241803,1.801883
1050,33.5786,-117.064424,344.652751,33.578377,-117.064249,456.639525,23.02197,1.801443
1065,33.578603,-117.064423,343.419251,33.578377,-117.064249,456.640129,22.804412,1.801002
1080,33.578605,-117.064422,342.195409,33.578377,-117.064249,456.640732,22.58996,1.800562
1095,33.578608,-117.064422,340.991344,33.578377,-117.064249,456.641335,22.379919,1.800121
1110,33.578611,-117.064421,339.796651,33.578377,-117.064249,456.641939,22.175339,1.799681
1125,33.578613,-117.064421,338.591838,33.578377,-117.064249,456.642542,21.973523,1.799241
1140,33.578616,-117.06442,337.405348,33.578377,-117.064249,456.643145,21.773577,1.7988
1155,33.578619,-117.06442,336.214241,33.578377,-117.064249,456.643749,21.578855,1.79836
1170,33.578621,-117.064419,335.104771,33.578377,-117.064249,456.644352,21.382861,1.79792
1185,33.578624,-117.064419,334.006192,33.578377,-117.064249,456.644955,21.19557,1.797479
1200,33.578626,-117.064418,332.958388,33.578377,-117.064249,456.645559,21.004838,1.797039
1215,33.578628,-117.064418,331.89388,33.578377,-117.064249,456.646162,20.817504,1.796599
1230,33.578631,-117.064417,330.840122,33.578377,-117.064249,456.646765,20.631987,1.796159
1245,33.578633,-117.064417,329.841292,33.578377,-117.064249,456.647369,20.450445,1.795719
1260,33.578624,-117.064413,331.740899,33.578376,-117.064249,456.647972,20.423079,1.795279
1275,33.578615,-117.064409,333.61935,33.578376,-117.064249,456.648575,20.389028,1.794838
1290,33.578606,-117.064405,335.419027,33.578376,-117.064249,456.649179,20.355168,1.794398
1305,33.578598,-117.064401,337.183605,33.578376,-117.064249,456.649782,20.319049,1.793958
1320,33.578589,-117.064397,338.952794,33.578376,-117.064249,456.650385,20.271372,1.793518
1335,33.578581,-117.064394,340.618746,33.578376,-117.064249,456.650989,20.22887,1.793078
1350,33.578572,-117.06439,342.262862,33.578376,-117.064249,456.651592,20.179348,1.792638
1365,33.578564,-117.064387,343.853498,33.578376,-117.064249,456.652195,20.130763,1.792199
1380,33.578557,-117.064383,345.397904,33.578376,-117.064249,456.652799,20.077314,1.791759
1395,33.578549,-117.06438,346.886246,33.578376,-117.064249,456.653402,20.023835,1.791319
1410,33.578542,-117.064376,348.317537,33.578376,-117.064249,456.654005,19.96807,1.790879
1425,33.578535,-117.064373,349.732025,33.578376,-117.064249,456.654609,19.906092,1.790439
1440,33.578527,-117.06437,351.089169,33.578376,-117.064249,456.655212,19.846536,1.789999
1455,33.578521,-117.064367,352.406525,33.578376,-117.064249,456.655815,19.779067,1.78956
1470,33.578514,-117.064363,353.666842,33.578376,-117.064249,456.656419,19.713506,1.78912
1485,33.578507,-117.06436,354.870147,33.578376,-117.064249,456.657022,19.645334,1.78868
1500,33.578501,-117.064357,356.014788,33.578376,-117.064249,456.657625,19.575127,1.78824
1515,33.578495,-117.064354,357.145403,33.578376,-117.064249,456.658229,19.503102,1.787801
1530,33.578489,-117.064351,358.235808,33.578376,-117.064249,456.658832,19.425305,1.787361
1545,33.578483,-117.064348,359.289259,33.578376,-117.064249,456.659435,19.348276,1.786922
1560,33.578477,-117.064345,360.292438,33.578376,-117.064249,456.660039,19.268622,1.786482
1575,33.578472,-117.064343,361.241279,33.578376,-117.064249,456.660642,19.190834,1.786042
1590,33.578466,-117.06434,362.111146,33.578376,-117.064249,456.661245,19.115485,1.785603
1605,33.578461,-117.064337,362.955211,33.578376,-117.064249,456.661849,19.036332,1.785163
1620,33.578456,-117.064335,363.765152,33.578376,-117.064249,456.662452,18.958453,1.784724
1635,33.578451,-117.064332,364.542096,33.578376,-117.064249,456.663055,18.877528,1.784285
1650,33.578447,-117.06433,365.283015,33.578376,-117.064249,456.663659,18.797896,1.783845
