t_gps,kf_lat,kf_lon,kf_h,fc_lat,fc_lon,fc_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma,corrected_lat,corrected_lon,corrected_h
0.000000,33.578365,-117.064533,454.636594,33.578365,-117.064533,454.636594,33.578378,-117.064249,456.597292,45.610014,1.832342,33.578368,-117.064477,455.026215
15.000000,33.578365,-117.064532,454.481517,33.578365,-117.064533,454.559664,33.578378,-117.064249,456.597896,44.041357,1.831900,33.578368,-117.064477,455.026818
30.000000,33.578366,-117.064531,453.934781,33.578365,-117.064532,454.283633,33.578378,-117.064249,456.598499,45.867651,1.831458,33.578368,-117.064477,455.027422
45.000000,33.578367,-117.064530,453.130658,33.578366,-117.064532,453.827451,33.578378,-117.064249,456.599102,49.087034,1.831015,33.578368,-117.064477,455.028025
60.000000,33.578370,-117.064528,451.842853,33.578368,-117.064530,452.972875,33.578378,-117.064249,456.599705,52.109699,1.830573,33.578368,-117.064477,455.028628
75.000000,33.578373,-117.064527,450.041999,33.578371,-117.064529,451.595733,33.578378,-117.064249,456.600309,54.209324,1.830131,33.578368,-117.064477,455.029232
90.000000,33.578376,-117.064524,448.399873,33.578373,-117.064528,450.219026,33.578378,-117.064249,456.600912,55.307553,1.829689,33.578367,-117.064477,455.029835
105.000000,33.578380,-117.064522,446.403037,33.578377,-117.064525,448.370638,33.578378,-117.064249,456.601515,55.565301,1.829247,33.578367,-117.064477,455.030438
120.000000,33.578384,-117.064520,444.345719,33.578381,-117.064523,446.340735,33.578378,-117.064249,456.602119,55.226656,1.828804,33.578367,-117.064477,455.031042
135.000000,33.578388,-117.064518,442.485299,33.578385,-117.064521,444.448500,33.578378,-117.064249,456.602722,54.535927,1.828362,33.578367,-117.064477,455.031645
150.000000,33.578392,-117.064516,440.757060,33.578389,-117.064519,442.662105,33.578378,-117.064249,456.603325,53.627846,1.827920,33.578367,-117.064477,455.032248
165.000000,33.578396,-117.064514,438.801359,33.578394,-117.064517,440.564983,33.578378,-117.064249,456.603929,52.594824,1.827478,33.578367,-117.064477,455.032852
180.000000,33.578400,-117.064511,436.860936,33.578398,-117.064514,438.467556,33.578378,-117.064249,456.604532,51.472333,1.827036,33.578367,-117.064477,455.033455
195.000000,33.578404,-117.064509,434.989622,33.578403,-117.064512,436.451574,33.578378,-117.064249,456.605135,50.361548,1.826594,33.578367,-117.064477,455.034058
210.000000,33.578409,-117.064507,433.196047,33.578407,-117.064510,434.535962,33.578378,-117.064249,456.605739,49.254620,1.826152,33.578367,-117.064477,455.034662
225.000000,33.578412,-117.064505,431.499219,33.578411,-117.064507,432.750815,33.578378,-117.064249,456.606342,48.177374,1.825710,33.578367,-117.064477,455.035265
240.000000,33.578416,-117.064502,429.805702,33.578415,-117.064505,430.971456,33.578378,-117.064249,456.606945,47.102461,1.825268,33.578367,-117.064477,455.035868
255.000000,33.578420,-117.064500,427.890173,33.578419,-117.064503,428.891943,33.578378,-117.064249,456.607549,46.082762,1.824826,33.578367,-117.064477,455.036472
270.000000,33.578424,-117.064499,425.985778,33.578424,-117.064502,426.836111,33.578378,-117.064249,456.608152,45.126023,1.824384,33.578367,-117.064477,455.037075
285.000000,33.578427,-117.064497,424.170272,33.578427,-117.064499,424.911301,33.578378,-117.064249,456.608755,44.180368,1.823943,33.578367,-117.064477,455.037678
300.000000,33.578431,-117.064495,422.464720,33.578431,-117.064497,423.145791,33.578378,-117.064249,456.609359,43.289585,1.823501,33.578367,-117.064477,455.038282
315.000000,33.578435,-117.064493,420.702851,33.578435,-117.064495,421.304792,33.578378,-117.064249,456.609962,42.454705,1.823059,33.578367,-117.064477,455.038885
330.000000,33.578438,-117.064491,418.907787,33.578439,-117.064493,419.421563,33.578378,-117.064249,456.610565,41.652346,1.822617,33.578367,-117.064477,455.039488
345.000000,33.578442,-117.064490,417.118353,33.578443,-117.064492,417.551360,33.578378,-117.064249,456.611169,40.898674,1.822175,33.578367,-117.064477,455.040091
360.000000,33.578446,-117.064488,415.375611,33.578447,-117.064490,415.751838,33.578378,-117.064249,456.611772,40.200815,1.821734,33.578367,-117.064477,455.040695
375.000000,33.578450,-117.064486,413.634192,33.578451,-117.064488,413.957253,33.578378,-117.064249,456.612375,39.514675,1.821292,33.578367,-117.064477,455.041298
390.000000,33.578454,-117.064484,411.898579,33.578455,-117.064486,412.173806,33.578378,-117.064249,456.612979,38.846573,1.820850,33.578367,-117.064477,455.041901
405.000000,33.578457,-117.064482,410.233377,33.578458,-117.064484,410.493209,33.578378,-117.064249,456.613582,38.218739,1.820409,33.578367,-117.064477,455.042505
420.000000,33.578461,-117.064480,408.461109,33.578462,-117.064482,408.660718,33.578378,-117.064249,456.614185,37.595007,1.819967,33.578367,-117.064477,455.043108
435.000000,33.578465,-117.064478,406.700139,33.578466,-117.064480,406.847524,33.578378,-117.064249,456.614789,36.989988,1.819525,33.578367,-117.064477,455.043711
450.000000,33.578468,-117.064476,404.969167,33.578470,-117.064478,405.079924,33.578378,-117.064249,456.615392,36.422114,1.819084,33.578367,-117.064477,455.044315
465.000000,33.578472,-117.064474,403.308300,33.578473,-117.064476,403.414476,33.578377,-117.064249,456.615995,35.879151,1.818642,33.578367,-117.064477,455.044918
480.000000,33.578475,-117.064472,401.680022,33.578477,-117.064474,401.795903,33.578377,-117.064249,456.616599,35.341589,1.818201,33.578367,-117.064477,455.045521
495.000000,33.578479,-117.064470,400.044650,33.578480,-117.064472,400.166702,33.578377,-117.064249,456.617202,34.835495,1.817759,33.578367,-117.064477,455.046125
510.000000,33.578482,-117.064468,398.461518,33.578484,-117.064470,398.612128,33.578377,-117.064249,456.617805,34.335505,1.817318,33.578367,-117.064477,455.046728
525.000000,33.578486,-117.064467,396.779207,33.578487,-117.064469,396.913867,33.578377,-117.064249,456.618409,33.859219,1.816876,33.578367,-117.064477,455.047331
540.000000,33.578489,-117.064465,395.152362,33.578491,-117.064467,395.295981,33.578377,-117.064249,456.619012,33.391993,1.816435,33.578367,-117.064477,455.047935
555.000000,33.578493,-117.064463,393.518057,33.578494,-117.064465,393.666980,33.578377,-117.064249,456.619615,32.941740,1.815994,33.578367,-117.064477,455.048538
570.000000,33.578497,-117.064461,391.857835,33.578498,-117.064463,392.000472,33.578377,-117.064249,456.620219,32.503906,1.815552,33.578367,-117.064477,455.049141
585.000000,33.578500,-117.064460,390.206374,33.578502,-117.064462,390.346853,33.578377,-117.064249,456.620822,32.093336,1.815111,33.578367,-117.064477,455.049745
600.000000,33.578504,-117.064458,388.547118,33.578506,-117.064460,388.682065,33.578377,-117.064249,456.621425,31.675071,1.814670,33.578367,-117.064477,455.050348
615.000000,33.578507,-117.064457,386.917578,33.578509,-117.064459,387.060325,33.578377,-117.064249,456.622029,31.290220,1.814228,33.578367,-117.064477,455.050951
630.000000,33.578511,-117.064455,385.344770,33.578512,-117.064458,385.519994,33.578377,-117.064249,456.622632,30.902505,1.813787,33.578367,-117.064477,455.051555
645.000000,33.578514,-117.064454,383.770446,33.578516,-117.064456,383.976253,33.578377,-117.064249,456.623235,30.534147,1.813346,33.578367,-117.064477,455.052158
660.000000,33.578518,-117.064453,382.178273,33.578519,-117.064455,382.405609,33.578377,-117.064249,456.623839,30.166726,1.812905,33.578367,-117.064477,455.052761
675.000000,33.578521,-117.064451,380.583003,33.578523,-117.064454,380.829726,33.578377,-117.064249,456.624442,29.815347,1.812463,33.578367,-117.064477,455.053365
690.000000,33.578525,-117.064450,379.022919,33.578526,-117.064453,379.303910,33.578377,-117.064249,456.625045,29.470873,1.812022,33.578367,-117.064477,455.053968
705.000000,33.578528,-117.064449,377.436329,33.578529,-117.064452,377.738631,33.578377,-117.064249,456.625649,29.134672,1.811581,33.578367,-117.064477,455.054571
720.000000,33.578532,-117.064448,375.820801,33.578533,-117.064451,376.130849,33.578377,-117.064249,456.626252,28.809731,1.811140,33.578367,-117.064477,455.055175
735.000000,33.578535,-117.064446,374.246598,33.578536,-117.064450,374.582490,33.578377,-117.064249,456.626855,28.492705,1.810699,33.578367,-117.064477,455.055778
750.000000,33.578538,-117.064445,372.739172,33.578539,-117.064449,373.129721,33.578377,-117.064249,456.627459,28.176309,1.810258,33.578367,-117.064477,455.056381
765.000000,33.578541,-117.064444,371.231072,33.578543,-117.064447,371.674197,33.578377,-117.064249,456.628062,27.865502,1.809817,33.578367,-117.064477,455.056985
780.000000,33.578545,-117.064442,369.715634,33.578546,-117.064446,370.206425,33.578377,-117.064249,456.628665,27.567387,1.809376,33.578367,-117.064477,455.057588
795.000000,33.578548,-117.064441,368.175126,33.578549,-117.064445,368.700923,33.578377,-117.064249,456.629269,27.276386,1.808935,33.578367,-117.064477,455.058191
810.000000,33.578551,-117.064440,366.653980,33.578552,-117.064444,367.222312,33.578377,-117.064249,456.629872,26.984095,1.808494,33.578367,-117.064477,455.058795
825.000000,33.578555,-117.064439,365.132814,33.578556,-117.064443,365.742433,33.578377,-117.064249,456.630475,26.703853,1.808053,33.578367,-117.064477,455.059398
840.000000,33.578558,-117.064437,363.667558,33.578559,-117.064442,364.342243,33.578377,-117.064249,456.631079,26.428005,1.807612,33.578367,-117.064477,455.060001
855.000000,33.578561,-117.064436,362.173426,33.578562,-117.064441,362.898372,33.578377,-117.064249,456.631682,26.157247,1.807171,33.578367,-117.064477,455.060605
870.000000,33.578564,-117.064435,360.689324,33.578565,-117.064440,361.467530,33.578377,-117.064249,456.632285,25.883631,1.806731,33.578366,-117.064477,455.061208
885.000000,33.578567,-117.064434,359.242840,33.578568,-117.064439,360.089808,33.578377,-117.064249,456.632889,25.628428,1.806290,33.578366,-117.064477,455.061811
900.000000,33.578571,-117.064433,357.840683,33.578571,-117.064438,358.774340,33.578377,-117.064249,456.633492,25.368322,1.805849,33.578366,-117.064477,455.062415
915.000000,33.578574,-117.064431,356.458911,33.578574,-117.064437,357.486101,33.578377,-117.064249,456.634095,25.114718,1.805408,33.578366,-117.064477,455.063018
930.000000,33.578577,-117.064430,355.074869,33.578576,-117.064436,356.192072,33.578377,-117.064249,456.634699,24.863262,1.804968,33.578366,-117.064477,455.063621
945.000000,33.578580,-117.064429,353.722604,33.578579,-117.064435,354.941799,33.578377,-117.064249,456.635302,24.617082,1.804527,33.578366,-117.064477,455.064225
960.000000,33.578583,-117.064428,352.369950,33.578582,-117.064435,353.688374,33.578377,-117.064249,456.635905,24.376262,1.804086,33.578366,-117.064477,455.064828
975.000000,33.578586,-117.064428,351.060035,33.578585,-117.064434,352.494503,33.578377,-117.064249,456.636509,24.140721,1.803646,33.578366,-117.064477,455.065431
990.000000,33.578589,-117.064427,349.758738,33.578588,-117.064433,351.310300,33.578377,-117.064249,456.637112,23.910005,1.803205,33.578366,-117.064477,455.066035
1005.000000,33.578591,-117.064426,348.482068,33.578590,-117.064433,350.159037,33.578377,-117.064249,456.637715,23.683634,1.802764,33.578366,-117.064477,455.066638
1020.000000,33.578594,-117.064425,347.227237,33.578593,-117.064432,349.036497,33.578377,-117.064249,456.638319,23.459890,1.802324,33.578366,-117.064477,455.067241
1035.000000,33.578597,-117.064424,345.933611,33.578595,-117.064432,347.854523,33.578377,-117.064249,456.638922,23.241803,1.801883,33.578366,-117.064477,455.067845
1050.000000,33.578600,-117.064424,344.652751,33.578598,-117.064431,346.688428,33.578377,-117.064249,456.639525,23.021970,1.801443,33.578366,-117.064477,455.068448
1065.000000,33.578603,-117.064423,343.419251,33.578601,-117.064431,345.588580,33.578377,-117.064249,456.640129,22.804412,1.801002,33.578366,-117.064477,455.069051
1080.000000,33.578605,-117.064422,342.195409,33.578603,-117.064431,344.499789,33.578377,-117.064249,456.640732,22.589960,1.800562,33.578366,-117.064477,455.069655
1095.000000,33.578608,-117.064422,340.991344,33.578605,-117.064431,343.436844,33.578377,-117.064249,456.641335,22.379919,1.800121,33.578366,-117.064477,455.070258
1110.000000,33.578611,-117.064421,339.796651,33.578608,-117.064430,342.384556,33.578377,-117.064249,456.641939,22.175339,1.799681,33.578366,-117.064477,455.070861
1125.000000,33.578613,-117.064421,338.591838,33.578610,-117.064430,341.314493,33.578377,-117.064249,456.642542,21.973523,1.799241,33.578366,-117.064477,455.071465
1140.000000,33.578616,-117.064420,337.405348,33.578613,-117.064430,340.268281,33.578377,-117.064249,456.643145,21.773577,1.798800,33.578366,-117.064477,455.072068
1155.000000,33.578619,-117.064420,336.214241,33.578615,-117.064430,339.212522,33.578377,-117.064249,456.643749,21.578855,1.798360,33.578366,-117.064477,455.072671
1170.000000,33.578621,-117.064419,335.104771,33.578617,-117.064430,338.272962,33.578377,-117.064249,456.644352,21.382861,1.797920,33.578366,-117.064477,455.073275
1185.000000,33.578624,-117.064419,334.006192,33.578619,-117.064430,337.346098,33.578377,-117.064249,456.644955,21.195570,1.797479,33.578366,-117.064477,455.073878
1200.000000,33.578626,-117.064418,332.958388,33.578621,-117.064429,336.489768,33.578377,-117.064249,456.645559,21.004838,1.797039,33.578366,-117.064477,455.074481
1215.000000,33.578628,-117.064418,331.893880,33.578623,-117.064429,335.605344,33.578377,-117.064249,456.646162,20.817504,1.796599,33.578366,-117.064477,455.075085
1230.000000,33.578631,-117.064417,330.840122,33.578625,-117.064429,334.733152,33.578377,-117.064249,456.646765,20.631987,1.796159,33.578366,-117.064477,455.075688
1245.000000,33.578633,-117.064417,329.841292,33.578627,-117.064429,333.937905,33.578377,-117.064249,456.647369,20.450445,1.795719,33.578366,-117.064477,455.076291
1260.000000,33.578624,-117.064413,331.740899,33.578612,-117.064424,337.387483,33.578376,-117.064249,456.647972,20.423079,1.795279,33.578366,-117.064477,455.076895
1275.000000,33.578615,-117.064409,333.619350,33.578598,-117.064419,340.780922,33.578376,-117.064249,456.648575,20.389028,1.794838,33.578366,-117.064477,455.077498
1290.000000,33.578606,-117.064405,335.419027,33.578584,-117.064414,344.034338,33.578376,-117.064249,456.649179,20.355168,1.794398,33.578366,-117.064477,455.078101
1305.000000,33.578598,-117.064401,337.183605,33.578570,-117.064409,347.212253,33.578376,-117.064249,456.649782,20.319049,1.793958,33.578366,-117.064477,455.078705
1320.000000,33.578589,-117.064397,338.952794,33.578556,-117.064404,350.372210,33.578376,-117.064249,456.650385,20.271372,1.793518,33.578366,-117.064477,455.079308
1335.000000,33.578581,-117.064394,340.618746,33.578543,-117.064399,353.357846,33.578376,-117.064249,456.650989,20.228870,1.793078,33.578366,-117.064477,455.079911
1350.000000,33.578572,-117.064390,342.262862,33.578530,-117.064395,356.288197,33.578376,-117.064249,456.651592,20.179348,1.792638,33.578366,-117.064477,455.080515
1365.000000,33.578564,-117.064387,343.853498,33.578518,-117.064390,359.118253,33.578376,-117.064249,456.652195,20.130763,1.792199,33.578366,-117.064477,455.081118
1380.000000,33.578557,-117.064383,345.397904,33.578505,-117.064386,361.858440,33.578376,-117.064249,456.652799,20.077314,1.791759,33.578366,-117.064477,455.081721
1395.000000,33.578549,-117.064380,346.886246,33.578494,-117.064382,364.495727,33.578376,-117.064249,456.653402,20.023835,1.791319,33.578366,-117.064477,455.082325
1410.000000,33.578542,-117.064376,348.317537,33.578482,-117.064377,367.029008,33.578376,-117.064249,456.654005,19.968070,1.790879,33.578366,-117.064477,455.082928
1425.000000,33.578535,-117.064373,349.732025,33.578471,-117.064373,369.517394,33.578376,-117.064249,456.654609,19.906092,1.790439,33.578366,-117.064477,455.083531
1440.000000,33.578527,-117.064370,351.089169,33.578460,-117.064369,371.903455,33.578376,-117.064249,456.655212,19.846536,1.789999,33.578366,-117.064477,455.084135
1455.000000,33.578521,-117.064367,352.406525,33.578450,-117.064365,374.211558,33.578376,-117.064249,456.655815,19.779067,1.789560,33.578366,-117.064477,455.084738
1470.000000,33.578514,-117.064363,353.666842,33.578440,-117.064361,376.419132,33.578376,-117.064249,456.656419,19.713506,1.789120,33.578366,-117.064477,455.085341
1485.000000,33.578507,-117.064360,354.870147,33.578430,-117.064358,378.525975,33.578376,-117.064249,456.657022,19.645334,1.788680,33.578366,-117.064477,455.085945
