t_gps,lat_deg,lon_deg,height_m,sigma0_m,pdop,n_sats,converged,n_iono_free,n_single_freq,err_3d
0.000000,33.578357,-117.064529,461.487938,44.859216,2.351701,10,1,11,0,16.613521
15.000000,33.578349,-117.064520,461.453507,44.112148,2.354706,10,1,11,0,16.308144
30.000000,33.578359,-117.064522,458.310226,44.320060,2.357626,10,1,11,0,18.880032
45.000000,33.578358,-117.064523,458.193255,44.719419,2.360458,10,1,11,0,18.748458
60.000000,33.578365,-117.064519,455.263647,44.532733,2.363201,10,1,11,0,21.405894
75.000000,33.578370,-117.064523,451.428446,44.314003,2.365853,10,1,11,0,24.425580
90.000000,33.578367,-117.064516,452.937736,44.264490,2.368414,10,1,11,0,23.305096
105.000000,33.578376,-117.064513,448.921880,44.227474,2.370882,10,1,11,0,26.962801
120.000000,33.578376,-117.064514,446.667136,44.156092,2.373256,10,1,11,0,28.768020
135.000000,33.578381,-117.064516,447.055183,44.438726,2.375534,10,1,11,0,28.723092
150.000000,33.578381,-117.064511,446.910585,44.700875,2.377715,10,1,11,0,28.930381
165.000000,33.578393,-117.064512,442.558210,44.738710,2.379799,10,1,11,0,33.161319
180.000000,33.578393,-117.064507,440.724650,44.487844,2.381784,10,1,11,0,34.817013
195.000000,33.578399,-117.064509,439.451443,44.666588,2.383669,10,1,11,0,36.147296
210.000000,33.578403,-117.064504,438.450172,44.599514,2.385453,10,1,11,0,37.302959
225.000000,33.578402,-117.064500,438.083364,44.706156,2.387135,10,1,11,0,37.685318
240.000000,33.578407,-117.064498,436.410052,44.274920,2.388715,10,1,11,0,39.379703
255.000000,33.578413,-117.064500,431.688893,44.337802,2.390191,10,1,11,0,43.726650
270.000000,33.578418,-117.064505,429.810516,44.451498,2.391562,10,1,11,0,45.525930
285.000000,33.578418,-117.064495,429.321232,43.977818,2.392828,10,1,11,0,46.139132
300.000000,33.578418,-117.064494,429.124589,44.057669,2.393988,10,1,11,0,46.350142
315.000000,33.578427,-117.064492,426.209645,44.181268,2.395042,10,1,11,0,49.349246
330.000000,33.578428,-117.064490,423.421448,43.853343,2.395989,10,1,11,0,51.970314
345.000000,33.578436,-117.064490,421.656597,43.987651,2.396828,10,1,11,0,53.878872
360.000000,33.578434,-117.064487,420.781702,44.332530,2.397559,10,1,11,0,54.631531
375.000000,33.578438,-117.064482,418.883975,43.952101,2.398182,10,1,11,0,56.621934
390.000000,33.578443,-117.064477,417.357263,43.748722,2.398696,10,1,11,0,58.306004
405.000000,33.578448,-117.064472,416.877884,44.026206,2.399101,10,1,11,0,59.001831
