t_gps,kf_lat,kf_lon,kf_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma
0.000000,33.578357,-117.064529,461.487938,33.578376,-117.064248,459.717274,45.666906,1.832395
15.000000,33.578356,-117.064528,461.482441,33.578376,-117.064248,459.717571,44.063639,1.831954
30.000000,33.578356,-117.064526,460.937965,33.578376,-117.064248,459.717869,45.885070,1.831513
45.000000,33.578357,-117.064526,460.335958,33.578376,-117.064248,459.718166,49.159395,1.831072
60.000000,33.578358,-117.064524,459.077728,33.578376,-117.064248,459.718463,52.213743,1.830630
75.000000,33.578361,-117.064523,456.952717,33.578376,-117.064248,459.718760,54.303018,1.830189
90.000000,33.578363,-117.064521,455.441356,33.578376,-117.064248,459.719058,55.372396,1.829748
105.000000,33.578367,-117.064518,453.190420,33.578376,-117.064248,459.719355,55.604803,1.829307
120.000000,33.578371,-117.064516,450.798006,33.578376,-117.064248,459.719652,55.232964,1.828866
135.000000,33.578374,-117.064515,448.988731,33.578376,-117.064248,459.719949,54.578358,1.828425
150.000000,33.578377,-117.064513,447.532829,33.578376,-117.064248,459.720247,53.756382,1.827984
165.000000,33.578382,-117.064512,445.422342,33.578376,-117.064248,459.720544,52.790954,1.827543
180.000000,33.578387,-117.064510,443.329928,33.578376,-117.064248,459.720841,51.683931,1.827102
195.000000,33.578391,-117.064509,441.385539,33.578376,-117.064248,459.721138,50.607998,1.826661
210.000000,33.578396,-117.064507,439.610516,33.578376,-117.064248,459.721435,49.521635,1.826220
225.000000,33.578399,-117.064504,438.093837,33.578376,-117.064248,459.721733,48.483985,1.825779
240.000000,33.578403,-117.064502,436.548344,33.578376,-117.064248,459.722030,47.393610,1.825338
255.000000,33.578407,-117.064500,434.446468,33.578375,-117.064248,459.722327,46.373407,1.824897
270.000000,33.578412,-117.064500,432.373128,33.578375,-117.064248,459.722624,45.425999,1.824457
285.000000,33.578415,-117.064498,430.540235,33.578375,-117.064248,459.722922,44.447692,1.824016
300.000000,33.578418,-117.064496,428.960249,33.578375,-117.064248,459.723219,43.544235,1.823575
315.000000,33.578422,-117.064494,427.180955,33.578375,-117.064248,459.723516,42.711954,1.823134
330.000000,33.578426,-117.064492,425.249772,33.578375,-117.064248,459.723813,41.878881,1.822694
345.000000,33.578430,-117.064490,423.339406,33.578375,-117.064248,459.724111,41.113934,1.822253
360.000000,33.578434,-117.064488,421.566721,33.578375,-117.064248,459.724408,40.432955,1.821812
375.000000,33.578437,-117.064486,419.774146,33.578375,-117.064248,459.724705,39.737278,1.821372
390.000000,33.578441,-117.064484,418.012774,33.578375,-117.064248,459.725002,39.055113,1.820931
405.000000,33.578445,-117.064481,416.407727,33.578375,-117.064248,459.725299,38.440316,1.820490
420.000000,33.578448,-117.064479,414.552268,33.578375,-117.064248,459.725597,37.800397,1.820050
435.000000,33.578452,-117.064476,412.704641,33.578375,-117.064248,459.725894,37.171909,1.819609
450.000000,33.578456,-117.064474,410.914794,33.578375,-117.064248,459.726191,36.605039,1.819169
465.000000,33.578459,-117.064471,409.290179,33.578375,-117.064248,459.726488,36.074976,1.818728
480.000000,33.578463,-117.064469,407.721024,33.578375,-117.064248,459.726786,35.522866,1.818288
495.000000,33.578466,-117.064467,406.094616,33.578375,-117.064248,459.727083,35.014799,1.817847
510.000000,33.578469,-117.064465,404.609378,33.578375,-117.064248,459.727380,34.497049,1.817407
525.000000,33.578473,-117.064463,402.888171,33.578375,-117.064248,459.727677,34.018280,1.816967
540.000000,33.578477,-117.064461,401.290935,33.578375,-117.064248,459.727975,33.537186,1.816526
555.000000,33.578480,-117.064459,399.645124,33.578375,-117.064248,459.728272,33.067491,1.816086
570.000000,33.578484,-117.064457,397.911661,33.578375,-117.064248,459.728569,32.614984,1.815646
585.000000,33.578488,-117.064455,396.183199,33.578375,-117.064248,459.728866,32.207885,1.815205
