t_gps,lat_deg,lon_deg,height_m,sigma0_m,pdop,n_sats,converged,n_iono_free,n_single_freq,err_3d
0.000000,33.578359,-117.064523,459.988973,44.545840,2.351701,10,1,11,0,17.814031
15.000000,33.578351,-117.064514,459.963361,43.801067,2.354707,10,1,11,0,17.541792
30.000000,33.578362,-117.064516,456.829059,44.003693,2.357626,10,1,11,0,20.190636
45.000000,33.578360,-117.064517,456.721236,44.400776,2.360458,10,1,11,0,20.062807
60.000000,33.578367,-117.064513,453.800949,44.211190,2.363201,10,1,11,0,22.767850
75.000000,33.578372,-117.064517,449.975243,43.987421,2.365854,10,1,11,0,25.834625
90.000000,33.578369,-117.064510,451.494208,43.939744,2.368414,10,1,11,0,24.692805
105.000000,33.578378,-117.064507,447.488209,43.898299,2.370882,10,1,11,0,28.379145
120.000000,33.578378,-117.064508,445.243508,43.824445,2.373256,10,1,11,0,30.196326
135.000000,33.578383,-117.064510,445.641787,44.103340,2.375534,10,1,11,0,30.128237
150.000000,33.578383,-117.064505,445.507610,44.362857,2.377716,10,1,11,0,30.330646
165.000000,33.578395,-117.064506,441.165848,44.397197,2.379800,10,1,11,0,34.564402
180.000000,33.578395,-117.064501,439.343095,44.143927,2.381785,10,1,11,0,36.224197
195.000000,33.578401,-117.064504,438.080890,44.317940,2.383670,10,1,11,0,37.541232
210.000000,33.578405,-117.064498,437.090819,44.248850,2.385453,10,1,11,0,38.689962
225.000000,33.578404,-117.064494,436.735407,44.354593,2.387135,10,1,11,0,39.065806
240.000000,33.578409,-117.064492,435.073689,43.921083,2.388715,10,1,11,0,40.752055
255.000000,33.578415,-117.064494,430.364321,43.978421,2.390191,10,1,11,0,45.096326
270.000000,33.578420,-117.064499,428.497934,44.088547,2.391562,10,1,11,0,46.881437
285.000000,33.578420,-117.064489,428.020839,43.616344,2.392828,10,1,11,0,47.489546
300.000000,33.578420,-117.064488,427.836580,43.694187,2.393988,10,1,11,0,47.689155
