t_gps,kf_lat,kf_lon,kf_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma
0.000000,33.578359,-117.064523,459.988973,33.578375,-117.064250,459.485163,45.613543,1.833428
15.000000,33.578358,-117.064522,459.984843,33.578375,-117.064250,459.485757,43.974655,1.832987
30.000000,33.578358,-117.064520,459.438374,33.578375,-117.064250,459.486351,45.764173,1.832546
45.000000,33.578359,-117.064520,458.837291,33.578375,-117.064250,459.486945,49.003946,1.832104
60.000000,33.578361,-117.064518,457.579145,33.578375,-117.064250,459.487539,52.018977,1.831663
75.000000,33.578364,-117.064517,455.453809,33.578375,-117.064250,459.488133,54.068211,1.831222
90.000000,33.578366,-117.064515,453.951219,33.578375,-117.064250,459.488727,55.104533,1.830781
105.000000,33.578370,-117.064512,451.708379,33.578375,-117.064250,459.489321,55.310815,1.830340
120.000000,33.578373,-117.064510,449.326107,33.578375,-117.064250,459.489915,54.920424,1.829899
135.000000,33.578376,-117.064509,447.530320,33.578375,-117.064250,459.490509,54.253778,1.829458
150.000000,33.578379,-117.064507,446.089076,33.578375,-117.064250,459.491103,53.424824,1.829017
165.000000,33.578385,-117.064506,443.991280,33.578375,-117.064250,459.491697,52.455531,1.828576
180.000000,33.578389,-117.064504,441.911769,33.578375,-117.064250,459.492291,51.346876,1.828135
195.000000,33.578393,-117.064503,439.980534,33.578375,-117.064250,459.492885,50.270738,1.827694
210.000000,33.578398,-117.064501,438.218957,33.578375,-117.064250,459.493479,49.185518,1.827253
225.000000,33.578401,-117.064498,436.716056,33.578375,-117.064250,459.494073,48.150263,1.826812
240.000000,33.578405,-117.064496,435.184161,33.578375,-117.064250,459.494667,47.062516,1.826371
255.000000,33.578409,-117.064494,433.094531,33.578375,-117.064250,459.495261,46.044766,1.825930
270.000000,33.578414,-117.064494,431.033526,33.578375,-117.064250,459.495855,45.100001,1.825490
285.000000,33.578417,-117.064492,429.213592,33.578375,-117.064250,459.496449,44.124962,1.825049
300.000000,33.578420,-117.064490,427.647007,33.578375,-117.064250,459.497043,43.224916,1.824608
315.000000,33.578424,-117.064488,425.880645,33.578375,-117.064250,459.497637,42.395963,1.824167
330.000000,33.578428,-117.064486,423.962170,33.578375,-117.064250,459.498231,41.566434,1.823727
345.000000,33.578432,-117.064484,422.064546,33.578375,-117.064250,459.498825,40.804647,1.823286
360.000000,33.578435,-117.064483,420.304869,33.578375,-117.064250,459.499419,40.127094,1.822845
375.000000,33.578439,-117.064481,418.525346,33.578375,-117.064250,459.500013,39.434584,1.822405
390.000000,33.578443,-117.064478,416.777147,33.578375,-117.064250,459.500607,38.755507,1.821964
405.000000,33.578446,-117.064475,415.185548,33.578375,-117.064250,459.501201,38.143654,1.821523
420.000000,33.578450,-117.064473,413.343179,33.578375,-117.064250,459.501795,37.506430,1.821083
435.000000,33.578453,-117.064471,411.508765,33.578375,-117.064250,459.502389,36.880768,1.820642
450.000000,33.578458,-117.064468,409.732269,33.578375,-117.064250,459.502983,36.316455,1.820202
465.000000,33.578461,-117.064466,408.121357,33.578375,-117.064250,459.503577,35.789159,1.819761
480.000000,33.578464,-117.064464,406.566133,33.578375,-117.064250,459.504171,35.239650,1.819321
495.000000,33.578468,-117.064462,404.953563,33.578375,-117.064250,459.504765,34.734111,1.818881
510.000000,33.578471,-117.064460,403.482542,33.578375,-117.064250,459.505359,34.218748,1.818440
525.000000,33.578474,-117.064458,401.775122,33.578375,-117.064250,459.505953,33.742167,1.818000
540.000000,33.578478,-117.064456,400.192023,33.578375,-117.064250,459.506547,33.263259,1.817559
555.000000,33.578482,-117.064454,398.560328,33.578375,-117.064250,459.507141,32.795718,1.817119
570.000000,33.578485,-117.064451,396.840883,33.578375,-117.064250,459.507735,32.345332,1.816679
585.000000,33.578489,-117.064450,395.126485,33.578375,-117.064250,459.508329,31.940202,1.816239
600.000000,33.578493,-117.064448,393.382350,33.578374,-117.064250,459.508923,31.503382,1.815798
615.000000,33.578497,-117.064447,391.713089,33.578374,-117.064250,459.509517,31.138959,1.815358
630.000000,33.578500,-117.064446,390.167966,33.578374,-117.064250,459.510111,30.756002,1.814918
645.000000,33.578504,-117.064444,388.598016,33.578374,-117.064250,459.510705,30.410393,1.814478
660.000000,33.578507,-117.064443,386.962010,33.578374,-117.064250,459.511299,30.041910,1.814038
675.000000,33.578511,-117.064442,385.299930,33.578374,-117.064250,459.511893,29.705814,1.813598
690.000000,33.578515,-117.064442,383.736766,33.578374,-117.064250,459.512487,29.367522,1.813158
705.000000,33.578519,-117.064441,382.089998,33.578374,-117.064250,459.513080,29.032318,1.812717
720.000000,33.578523,-117.064440,380.384304,33.578374,-117.064250,459.513674,28.714400,1.812277
735.000000,33.578526,-117.064439,378.779901,33.578374,-117.064250,459.514268,28.394940,1.811837
750.000000,33.578529,-117.064438,377.353265,33.578374,-117.064250,459.514862,28.069089,1.811397
765.000000,33.578532,-117.064437,375.918651,33.578374,-117.064250,459.515456,27.747530,1.810958
780.000000,33.578536,-117.064436,374.421754,33.578374,-117.064250,459.516050,27.446321,1.810518
795.000000,33.578539,-117.064435,372.858247,33.578374,-117.064250,459.516644,27.160630,1.810078
810.000000,33.578542,-117.064434,371.325682,33.578374,-117.064250,459.517238,26.861129,1.809638
825.000000,33.578546,-117.064433,369.793332,33.578374,-117.064250,459.517832,26.582046,1.809198
840.000000,33.578549,-117.064431,368.390901,33.578374,-117.064250,459.518426,26.309040,1.808758
855.000000,33.578552,-117.064430,366.907635,33.578374,-117.064250,459.519020,26.041175,1.808318
870.000000,33.578555,-117.064429,365.432493,33.578374,-117.064250,459.519614,25.754462,1.807879
885.000000,33.578559,-117.064428,364.017815,33.578374,-117.064250,459.520208,25.507764,1.807439
900.000000,33.578562,-117.064426,362.697841,33.578374,-117.064250,459.520802,25.243198,1.806999
915.000000,33.578564,-117.064425,361.403775,33.578374,-117.064250,459.521396,24.992234,1.806560
930.000000,33.578567,-117.064424,360.077702,33.578374,-117.064250,459.521990,24.737621,1.806120
945.000000,33.578570,-117.064423,358.814185,33.578374,-117.064250,459.522584,24.490290,1.805680
960.000000,33.578573,-117.064422,357.542762,33.578374,-117.064250,459.523178,24.249232,1.805241
975.000000,33.578575,-117.064420,356.344453,33.578374,-117.064250,459.523772,24.014043,1.804801
990.000000,33.578578,-117.064419,355.143211,33.578374,-117.064250,459.524366,23.786150,1.804362
1005.000000,33.578580,-117.064418,353.972642,33.578374,-117.064250,459.524960,23.563603,1.803922
1020.000000,33.578583,-117.064416,352.817051,33.578374,-117.064250,459.525554,23.346045,1.803483
1035.000000,33.578586,-117.064416,351.540135,33.578374,-117.064250,459.526148,23.138046,1.803043
1050.000000,33.578589,-117.064415,350.268118,33.578374,-117.064250,459.526742,22.919282,1.802604
1065.000000,33.578591,-117.064414,349.083326,33.578374,-117.064250,459.527336,22.701905,1.802164
1080.000000,33.578594,-117.064414,347.875355,33.578374,-117.064250,459.527930,22.484479,1.801725
1095.000000,33.578597,-117.064413,346.687747,33.578374,-117.064250,459.528524,22.270666,1.801286
1110.000000,33.578600,-117.064412,345.496650,33.578374,-117.064250,459.529118,22.065298,1.800846
1125.000000,33.578603,-117.064412,344.239057,33.578374,-117.064250,459.529712,21.861099,1.800407
1140.000000,33.578606,-117.064412,342.995243,33.578374,-117.064250,459.530306,21.656486,1.799968
1155.000000,33.578609,-117.064411,341.717015,33.578374,-117.064250,459.530900,21.459886,1.799528
1170.000000,33.578611,-117.064411,340.600213,33.578374,-117.064250,459.531494,21.258973,1.799089
1185.000000,33.578614,-117.064410,339.479278,33.578374,-117.064250,459.532088,21.077696,1.798650
1200.000000,33.578616,-117.064409,338.466820,33.578374,-117.064250,459.532682,20.883508,1.798211
1215.000000,33.578619,-117.064409,337.370608,33.578374,-117.064250,459.533276,20.694013,1.797772
1230.000000,33.578621,-117.064409,336.283921,33.578374,-117.064250,459.533870,20.504230,1.797333
1245.000000,33.578624,-117.064408,335.283635,33.578374,-117.064250,459.534464,20.316806,1.796894
1260.000000,33.578615,-117.064404,337.119145,33.578374,-117.064250,459.535058,20.301040,1.796455
1275.000000,33.578606,-117.064400,338.977182,33.578374,-117.064250,459.535652,20.273422,1.796015
1290.000000,33.578597,-117.064396,340.741640,33.578374,-117.064250,459.536246,20.246420,1.795576
